source,term,start_date,end_date,count,enabled,created_on,last_updated,comment
oregon-humanities,museum,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,museum,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,museum,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,museum,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,museum,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,museum,1/1/2000,1/1/2020,,,,,
humanities-tennessee,museum,1/1/2000,1/1/2020,,,,,
humanities-texas,museum,1/1/2000,1/1/2020,,,,,
utah-humanities,museum,1/1/2000,1/1/2020,,,,,
vermont-humanities,museum,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,museum,1/1/2000,1/1/2020,,,,,
virginia-humanities,museum,1/1/2000,1/1/2020,,,,,
humanities-washington,museum,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,museum,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,museum,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,museum,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,culture,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,culture,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,culture,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,culture,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,culture,1/1/2000,1/1/2020,,,,,
california-humanities,culture,1/1/2000,1/1/2020,,,,,
colorado-humanities,culture,1/1/2000,1/1/2020,,,,,
connecticut-humanities,culture,1/1/2000,1/1/2020,,,,,
delaware-humanities,culture,1/1/2000,1/1/2020,,,,,
humanities-dc,culture,1/1/2000,1/1/2020,,,,,
florida-humanities-council,culture,1/1/2000,1/1/2020,,,,,
georgia-humanities,culture,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,culture,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,culture,1/1/2000,1/1/2020,,,,,
illinois-humanities,culture,1/1/2000,1/1/2020,,,,,
indiana-humanties,culture,1/1/2000,1/1/2020,,,,,
humanities-iowa,culture,1/1/2000,1/1/2020,,,,,
humanities-kansas,culture,1/1/2000,1/1/2020,,,,,
kentucky-humanities,culture,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
maine-humanities-council,culture,1/1/2000,1/1/2020,,,,,
maryland-humanities,culture,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,culture,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,culture,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,culture,1/1/2000,1/1/2020,,,,,
mississippi-humanities,culture,1/1/2000,1/1/2020,,,,,
missouri-humanities,culture,1/1/2000,1/1/2020,,,,,
humanities-montana,culture,1/1/2000,1/1/2020,,,,,
humanities-nebraska,culture,1/1/2000,1/1/2020,,,,,
nevada-humanities,culture,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,culture,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,culture,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,culture,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,culture,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,culture,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,culture,1/1/2000,1/1/2020,,,,,
