source,term,start_date,end_date,count,enabled,created_on,last_updated,comment
humanities-nebraska,arts,1/1/2000,1/1/2020,,,,,
nevada-humanities,arts,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,arts,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,arts,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,arts,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,arts,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,arts,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,arts,1/1/2000,1/1/2020,,,,,
ohio-humanities,arts,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,arts,1/1/2000,1/1/2020,,,,,
oregon-humanities,arts,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,arts,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,arts,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,arts,1/1/2000,1/1/2020,,,,,
humanities-tennessee,arts,1/1/2000,1/1/2020,,,,,
humanities-texas,arts,1/1/2000,1/1/2020,,,,,
utah-humanities,arts,1/1/2000,1/1/2020,,,,,
vermont-humanities,arts,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,arts,1/1/2000,1/1/2020,,,,,
virginia-humanities,arts,1/1/2000,1/1/2020,,,,,
humanities-washington,arts,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,arts,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,arts,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,arts,1/1/2000,1/1/2020,,,,,
